schema_name |    collection    |                   table_name                   |                                                            title                                                             |version
"safcat"    |"VEXAS"           |"VEXAS_SMW_V2"                                  |"VISTA match with AllWISE and SkyMappers"                                                                                     |2      
"safcat"    |"VEXAS"           |"VEXAS_XRAY_V1"                                 |"VISTA match with AllWISE and X-rays"                                                                                         |1      
"safcat"    |"VEXAS"           |"VEXAS_SPEC_GOOD_V2"                            |"VISTA match with AllWISE and spectroscopic surveys"                                                                          |2      
"safcat"    |"VHS"             |"VHS_CAT_V2"                                    |"VISTA Hemisphere Survey band-merged multi-waveband catalogues (VHS)"                                                         |2      
"safcat"    |"VHS"             |"VHS_CAT_V3"                                    |"VISTA Hemisphere Survey band-merged multi-waveband catalogues (VHS)"                                                         |3      
"safcat"    |"VIDEO"           |"VIDEO_CAT_DR5"                                 |"VISTA Deep Extragalactic Observations Survey (VIDEO)"                                                                        |1      
"safcat"    |"VIDEO"           |"video_er3_zyjhks_CDFS_catMetaData_fits_V2"     |"VISTA Deep Extragalactic Observations Survey (VIDEO) - CDFS field"                                                           |2      
"safcat"    |"VIDEO"           |"video_er3_zyjhks_ES1_catMetaData_fits_V2"      |"VISTA Deep Extragalactic Observations Survey (VIDEO) - ES1 field"                                                            |2      
"safcat"    |"VIDEO"           |"video_er3_zyjhks_XMM_catMetaData_fits_V3"      |"VISTA Deep Extragalactic Observations Survey (VIDEO) - XMM field"                                                            |3      
"safcat"    |"VIKING"          |"viking_er4_zyjj_1j_2hks_catMetaData_fits_V3"   |"VISTA Kilo-degree Infrared Galaxy Survey (VIKING)"                                                                           |3      
"safcat"    |"VIKING"          |"viking_er5_zyjj_1j_2hks_catMetaData_fits_V4"   |"VISTA Kilo-degree Infrared Galaxy Survey (VIKING)"                                                                           |4      
"safcat"    |"VIPERS"          |"VIPERS_SPECTRO_PDR2_ESO_fits_V1"               |"VIPERS - VIMOS Public Extragalactic Redshift Survey"                                                                         |1      
"safcat"    |"VMC"             |"vmc_er4_ksjy_catMetaData_fits_V3"              |"VISTA Magellanic Survey: Band-merged Master Source Catalog (YJKs)"                                                           |3      
"safcat"    |"VMC"             |"vmc_dr5_sourceCat_yjks_V4"                     |"VISTA Magellanic Survey: Band-merged Master Source Catalog (YJKs)"                                                           |4      
"safcat"    |"VMC"             |"vmc_dr6_ksjy_V5"                               |"VISTA Magellanic Survey: Band-merged Master Source Catalog (YJKs)"                                                           |5      
"safcat"    |"VMC"             |"vmc_dr5_var_yjKs_V1"                           |"VISTA Magellanic Survey: Catalog of Variables"                                                                               |1      
"safcat"    |"VMC"             |"vmc_dr6_yjks_varCat_V2"                        |"VISTA Magellanic Survey: Catalog of Variables"                                                                               |2      
"safcat"    |"VMC"             |"vmc_er4_yjks_cepheidCatMetaData_fits_V3"       |"VISTA Magellanic Survey: Cepheids"                                                                                           |3      
"safcat"    |"VMC"             |"vmc_er4_yjks_eclBinCatMetaData_fits_V2"        |"VISTA Magellanic Survey: Eclipsing Binaries"                                                                                 |2      
"safcat"    |"VMC"             |"vmc_er4_j_mPhotMetaData_fits_V3"               |"VISTA Magellanic Survey: Multi-Epoch J-Band Photometry"                                                                      |3      
"safcat"    |"VMC"             |"vmc_dr5_mPhotJ_V4"                             |"VISTA Magellanic Survey: Multi-Epoch J-Band Photometry"                                                                      |4      
"safcat"    |"VMC"             |"vmc_dr6_mPhotJ_V5"                             |"VISTA Magellanic Survey: Multi-Epoch J-Band Photometry"                                                                      |5      
"safcat"    |"VMC"             |"vmc_er4_ks_mPhotMetaData_fits_V3"              |"VISTA Magellanic Survey: Multi-Epoch Ks-Band Photometry"                                                                     |3      
"safcat"    |"VMC"             |"vmc_dr5_mPhotKs_V4"                            |"VISTA Magellanic Survey: Multi-Epoch Ks-Band Photometry"                                                                     |4      
"safcat"    |"VMC"             |"vmc_dr6_mPhotKs_V5"                            |"VISTA Magellanic Survey: Multi-Epoch Ks-Band Photometry"                                                                     |5      
"safcat"    |"VMC"             |"vmc_er4_y_mPhotMetaData_fits_V3"               |"VISTA Magellanic Survey: Multi-Epoch Y-Band Photometry"                                                                      |3      
"safcat"    |"VMC"             |"vmc_dr5_mPhotY_V4"                             |"VISTA Magellanic Survey: Multi-Epoch Y-Band Photometry"                                                                      |4      
"safcat"    |"VMC"             |"vmc_dr6_mPhotY_V5"                             |"VISTA Magellanic Survey: Multi-Epoch Y-Band Photometry"                                                                      |5      
"safcat"    |"VMC"             |"vmc_er4_yjks_psfCatMetaData_fits_V2"           |"VISTA Magellanic Survey: PSF Photometry (YJKs)"                                                                              |2      
"safcat"    |"VMC"             |"vmc_dr5_psf_yjks_V3"                           |"VISTA Magellanic Survey: PSF Photometry (YJKs)"                                                                              |3      
"safcat"    |"VMC"             |"vmc_dr6_yjks_psf_V4"                           |"VISTA Magellanic Survey: PSF Photometry (YJKs)"                                                                              |4      
"safcat"    |"VMC"             |"vmc_er4_yjks_rrLyrCatMetaData_fits_V1"         |"VISTA Magellanic Survey: RR Lyrae stars"                                                                                     |1      
"safcat"    |"VPHASplus"       |"vphas_er3_ugr_1r_2ihavphas_catMetaData_fits_V3"|"VST Photometric H-a Survey of the Southern Galactic Plane (VPHAS+)"                                                          |3      
"safcat"    |"VST-ATLAS"       |"atlas_er3_ugriz_catMetaData_fits_V2"           |"VST ATLAS"                                                                                                                   |2      
"safcat"    |"VST-ATLAS"       |"atlas_er4_ugriz_catMetaData_fits_V3"           |"VST ATLAS"                                                                                                                   |3      
"safcat"    |"VVV"             |"VVV_VIRAC_PM_V1"                               |"VVV/VIRAC: proper motion catalog"                                                                                            |1      
"safcat"    |"VVV"             |"VVV_VAR_V2"                                    |"VVV: Catalogue of Variables in the Via Lactea"                                                                               |2      
"safcat"    |"VVV"             |"VVV_MPHOT_Ks_V2"                               |"VVV: Multi-Epoch Ks-Band Photometry in the Via Lactea"                                                                       |2      
"safcat"    |"VVV"             |"VVV_CAT_V2"                                    |"VVV: ZYJHKs Catalogue in the Via Lactea"                                                                                     |2      
"safcat"    |"VVV"             |"VVV_bandMergedSourceCat_V3"                    |"VVV: ZYJHKs Catalogue in the Via Lactea"                                                                                     |3      
"safcat"    |"VVVX"            |"VVVX_VIRAC_V2_OBS"                             |"VIRAC2 observation details"                                                                                                  |1      
"safcat"    |"VVVX"            |"VVVX_VIRAC_V2_SOURCES"                         |"VIRAC2 source catalogue"                                                                                                     |1      
"safcat"    |"VVVX"            |"VVVX_VIRAC_V2_REJECTED_SOURCES"                |"VIRAC2 source catalogue - Rejected Sources"                                                                                  |1      
"safcat"    |"VVVX"            |"VVVX_VIRAC_V2_LC"                              |"VIRAC2 time series"                                                                                                          |1      
"safcat"    |"VVVX"            |"VVVX_VIRAC_V2_REJECTED_LC"                     |"VIRAC2 time series - Rejected Sources"                                                                                       |1      
"safcat"    |"XQ-100"          |"XQ_100_summary_fits_V1"                        |"Quasars and their absorption lines: a legacy survey of the high-redshift universe (XQ-100)"                                  |1      
"safcat"    |"ZCOSMOS"         |"ZCOSMOS_V2"                                    |"zCOSMOS Spectroscopic Redshift Survey"                                                                                       |2      
